Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Starkenbergg,Starkenbergg,,7,0,5,5,0,10,10,11,0.165176,0.199857,0
carmemascarell,carmemascarell,,6,0,9,9,0,10,10,13,0.123501,0.164725,0
ifontmartin,ifontmartin,,7,0,6,6,0,7,7,11,0.153465,0.18056,0
botifarrax,botifarrax,,6,8,1,9,8,1,9,1,1,1,17.035714
TargetaVermella,TargetaVermella,,7,5,0,5,5,0,5,0,0,0,0
cdrsalt,cdrsalt,,7,6,1,7,6,1,7,0,0,0,0
smujal,smujal,,7,0,8,8,0,13,13,15,0.093047,0.126044,0
damiacalvet,damiacalvet,,6,17,0,17,17,0,17,0,0,0,0
LloberAngels,LloberAngels,,6,0,5,5,0,5,5,9,0.191065,0.22319,0
D595201543,D595201543,,6,0,6,6,0,6,6,10,0.176209,0.209442,0
totiapm,totiapm,,6,0,5,5,0,6,6,15,0.09157,0.111556,0
margasl1,margasl1,,6,0,6,6,0,7,7,15,0.091661,0.114621,0
XVila72,XVila72,,6,0,5,5,0,5,5,10,0.17565,0.205737,0
lakhlave,lakhlave,,1,3,2,5,3,2,5,1,1,1,4.222222
Adanae78667478,Adanae78667478,,2,0,5,5,0,6,6,10,0.173777,0.205871,0
mpgmuret60,mpgmuret60,,6,0,5,5,0,5,5,15,0.092364,0.116495,0
boiraintensa,boiraintensa,,6,0,6,6,0,7,7,13,0.12193,0.15625,0
MoraloJavier,MoraloJavier,,7,0,5,5,0,8,8,13,0.123937,0.152401,0
ManelGinesBiels,ManelGinesBiels,,6,0,5,5,0,7,7,10,0.201012,0.236497,0
MasRaimon,MasRaimon,,7,0,5,5,0,9,9,2,0.857143,0.916667,0
Solmare6,Solmare6,,6,0,5,5,0,5,5,9,0.220635,0.261461,0
diegocrespo2,diegocrespo2,,4,0,5,5,0,6,6,8,0.230258,0.264668,0
NoHiSomTots,NoHiSomTots,,7,0,6,6,0,13,13,9,0.203527,0.235389,0
Mario73078984,Mario73078984,,4,0,5,5,0,5,5,9,0.199424,0.228203,0
mariapilarserr1,mariapilarserr1,,6,0,5,5,0,5,5,4,0.555556,0.708333,0
enricsimoferre,enricsimoferre,,6,0,5,5,0,6,6,14,0.100801,0.124613,0
ECCEHOM54355458,ECCEHOM54355458,,2,4,1,5,4,1,5,12,0.13417,0.147747,278.2
poblescatalunya,poblescatalunya,,6,3,2,5,4,4,8,1,1,1,0.5
ramon_sans,ramon_sans,,7,0,5,5,0,6,6,2,0.857143,0.916667,0
r4m0ntt,r4m0ntt,,6,0,5,5,0,6,6,9,0.190117,0.217211,0
MatildaNes,MatildaNes,,7,0,6,6,0,9,9,13,0.129536,0.172514,0
AngelTorresSnch,AngelTorresSnch,,7,0,6,6,0,10,10,10,0.158648,0.183422,0
rosabass,rosabass,,2,1,4,5,1,5,6,11,0.152739,0.178685,92.028247
v_canadell,v_canadell,,6,0,8,8,0,8,8,2,0.9,0.944444,0
BSenespleda,BSenespleda,,6,0,5,5,0,6,6,12,0.132409,0.162276,0
vickycb65,vickycb65,,7,0,6,6,0,13,13,3,0.571429,0.708333,0
RABAL48,RABAL48,,6,0,5,5,0,6,6,3,0.666667,0.791667,0
ponscollaleix,ponscollaleix,,6,0,6,6,0,6,6,11,0.148925,0.183451,0
usvolemacasa,usvolemacasa,,7,142,0,142,249,0,249,0,0,0,0
Llibertatcat,Llibertatcat,,7,297,1,298,640,45,685,0,0,0,0
ADIC_TES,ADIC_TES,,7,68,2,70,95,2,97,2,0.75,0.833333,363.725541
v_rovira,v_rovira,,7,21,0,21,36,0,36,0,0,0,0
albertbatet,albertbatet,,6,150,1,151,150,1,151,1,1,1,17.703268
elpuntavui,elpuntavui,,5,5,0,5,5,0,5,0,0,0,0
PortuariosBCN,PortuariosBCN,,6,27,0,27,27,0,27,0,0,0,0
UndeLleida,UndeLleida,,7,0,5,5,0,10,10,2,0.777778,0.857143,0
VernetAlfred,VernetAlfred,,5,0,5,5,0,7,7,3,0.588235,0.716667,0
Besaluddelsud,Besaluddelsud,,6,3,4,7,3,4,7,1,1,1,8.833333
francescabad,francescabad,,6,7,2,9,7,3,10,1,1,1,5.166667
resonanciasocia,resonanciasocia,,7,4,1,5,4,2,6,1,1,1,2.916667
RevistadeCat,RevistadeCat,,2,6,0,6,6,0,6,0,0,0,0
flandes_i,flandes_i,,3,7,0,7,9,0,9,0,0,0,0
ggthebrauxxx,ggthebrauxxx,,6,0,5,5,0,5,5,1,1,1,0
GemmaPasqual,GemmaPasqual,,7,4,1,5,4,1,5,0,0,0,0
nacho_rull,nacho_rull,,6,5,0,5,5,0,5,0,0,0,0
intermon2004,intermon2004,,6,0,5,5,0,5,5,10,0.172801,0.202998,0
14Antoniom,14Antoniom,,4,6,4,10,6,4,10,9,0.219048,0.257839,7148.234859
nautic2050CAT,nautic2050CAT,,6,1,4,5,1,5,6,9,0.224838,0.260931,0
jnadalcanto,jnadalcanto,,6,46,5,51,46,5,51,12,0.131931,0.158939,6845.827549
joanignasielena,joanignasielena,,7,9,0,9,9,0,9,0,0,0,0
musicspenedes,musicspenedes,,7,4,2,6,6,4,10,1,1,1,1.5
avisiaviesreus,avisiaviesreus,,7,14,0,14,19,0,19,0,0,0,0
marianjubany,marianjubany,,2,31,1,32,31,1,32,1,1,1,4.95
lluisgpera,lluisgpera,,6,4,1,5,4,1,5,2,0.666667,0.75,4.366667
perellonet,perellonet,,2,3,2,5,3,2,5,2,0.6,0.666667,3
DamesxRep,DamesxRep,,3,6,1,7,6,1,7,14,0.100725,0.1144,323.5
BatallaCarles,BatallaCarles,,6,14,2,16,14,2,16,10,0.160558,0.177171,3801.090598
pmenamendoza,pmenamendoza,,7,0,5,5,0,9,9,11,0.153463,0.179122,0
chdauriac,chdauriac,,6,13,1,14,16,2,18,0,0,0,0
ZahiaGC,ZahiaGC,,7,9,1,10,9,1,10,0,0,0,0
JuntsPerCatBDN,JuntsPerCatBDN,,6,5,0,5,5,0,5,0,0,0,0
ANCLHospitalet,ANCLHospitalet,,7,7,0,7,7,0,7,0,0,0,0
novulltwiter,novulltwiter,,2,14,0,14,14,0,14,0,0,0,0
mstrubell,mstrubell,,6,9,1,10,9,1,10,1,1,1,0.75
jpoubaez,jpoubaez,,6,9,0,9,9,0,9,0,0,0,0
AccioxRep,AccioxRep,,6,14,0,14,14,0,14,0,0,0,0
IsraelGJS,IsraelGJS,,1,5,0,5,5,0,5,0,0,0,0
nunulona,nunulona,,6,17,0,17,17,0,17,0,0,0,0
ecasajoana,ecasajoana,,6,11,0,11,11,0,11,0,0,0,0
E_Gallinat,E_Gallinat,,7,9,0,9,9,0,9,0,0,0,0
mariona__rull,mariona__rull,,6,11,0,11,11,0,11,0,0,0,0
martikarreras,martikarreras,,5,6,0,6,6,0,6,0,0,0,0
Vinotava,Vinotava,,3,12,0,12,12,0,12,0,0,0,0
soniacuadrat,soniacuadrat,,6,5,2,7,5,2,7,1,1,1,43.181746
Itxarobi1,Itxarobi1,,4,0,12,12,0,16,16,8,0.255535,0.30915,0
